Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
310;Arnoldas Kulboka;SF;24;CHO;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
311;Jonathan Kuminga;SF;19;GSW;47;7;14.5;2.9;5.7;0.511;0.6;1.9;0.322;2.3;3.9;0.602;0.563;1.5;2.3;0.655;0.6;2.2;2.8;0.7;0.4;0.2;0.9;1.9;8
312;Kyle Kuzma;PF;26;WAS;54;54;33.2;6.2;13.6;0.453;1.9;5.6;0.338;4.3;8.1;0.533;0.522;2.3;3.2;0.701;1.1;7.7;8.8;3.1;0.6;0.9;2.3;1.8;16.5
313;Anthony Lamb;SF;24;SAS;2;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0.5;0.5;1;0;0;0;0;0
314;Jeremy Lamb;SF-SG;29;TOT;40;0;16.1;2.2;6;0.372;1.1;3.1;0.336;1.2;2.9;0.412;0.46;1.8;2.1;0.843;0.4;2.1;2.5;1.4;0.6;0.4;0.6;1.1;7.3
314;Jeremy Lamb;SF;29;IND;39;0;15.7;2.2;5.8;0.373;1;3;0.333;1.2;2.8;0.414;0.458;1.7;2.1;0.838;0.4;2;2.4;1.3;0.6;0.4;0.6;1.1;7.1
314;Jeremy Lamb;SG;29;SAC;1;0;31;4;11;0.364;3;8;0.375;1;3;0.333;0.5;3;3;1;0;6;6;5;0;2;1;1;14
315;Jock Landale;C;26;SAS;36;1;10.2;1.8;3.6;0.488;0.6;1.6;0.351;1.2;2;0.597;0.566;0.6;0.7;0.84;1.1;1.1;2.2;0.9;0.2;0.3;0.6;0.9;4.6
316;Romeo Langford;SG;22;BOS;44;5;16.5;1.8;4.2;0.429;0.7;1.9;0.349;1.1;2.3;0.495;0.508;0.5;0.8;0.588;0.7;1.7;2.4;0.4;0.5;0.4;0.4;1;4.7
317;Zach LaVine;SF;26;CHI;47;47;34.6;8.7;18.1;0.482;2.9;7.2;0.399;5.9;11;0.536;0.561;4.2;4.9;0.869;0.3;4.6;4.9;4.5;0.6;0.4;2.7;1.7;24.6
